Image,Depth_level,Useful_pixels(%)
000000000036.jpg,3,58.5561
000000000049.jpg,2,51.527
000000000061.jpg,1,96.9823
000000000074.jpg,0,99.8272
000000000077.jpg,1,82.8475
000000000086.jpg,1,69.0393
000000000109.jpg,5,41.8419
000000000110.jpg,1,100.0
000000000113.jpg,1,99.9996
000000000127.jpg,1,86.7769
000000000136.jpg,1,93.5225
000000000149.jpg,4,33.8143
000000000151.jpg,4,42.3822
000000000165.jpg,1,92.3918
000000000192.jpg,2,55.1175
000000000201.jpg,4,68.4032
000000000241.jpg,2,70.7507
000000000257.jpg,2,45.8392
000000000260.jpg,3,55.6553
000000000294.jpg,1,96.8234
000000000308.jpg,1,88.3836
000000000315.jpg,2,64.4076
000000000322.jpg,2,81.6726
000000000326.jpg,1,99.7223
000000000328.jpg,0,99.3072
000000000338.jpg,3,86.5075
000000000357.jpg,2,99.7083
000000000360.jpg,1,72.5301
000000000368.jpg,0,100.0
000000000370.jpg,1,91.8932
000000000382.jpg,7,27.4482
000000000389.jpg,1,95.5716
000000000395.jpg,1,66.5946
000000000397.jpg,1,94.3249
000000000415.jpg,1,91.3997
000000000419.jpg,1,100.0
000000000428.jpg,2,97.974
000000000431.jpg,1,93.8572
000000000436.jpg,1,92.0316
000000000443.jpg,2,97.9749
000000000446.jpg,1,92.8708
000000000459.jpg,1,94.997
000000000471.jpg,2,59.6571
000000000474.jpg,0,100.0
000000000488.jpg,3,46.2535
000000000510.jpg,2,68.7051
000000000520.jpg,4,36.7305
000000000529.jpg,0,99.3413
000000000531.jpg,1,50.0986
000000000532.jpg,3,56.5205
000000000536.jpg,1,88.0966
000000000542.jpg,2,60.6731
000000000544.jpg,2,91.2112
000000000564.jpg,2,58.9111
000000000569.jpg,4,33.9779
000000000572.jpg,2,79.9451
000000000589.jpg,1,100.0
000000000623.jpg,2,96.7467
000000000625.jpg,2,69.1017
000000000634.jpg,1,91.8669
000000000641.jpg,2,75.0077
000000000659.jpg,1,83.9085
000000000673.jpg,0,100.0
000000000684.jpg,1,94.6311
000000000690.jpg,1,79.403
000000000692.jpg,2,88.4652
000000000693.jpg,1,100.0
000000000716.jpg,1,93.6149
000000000722.jpg,2,63.9151
000000000723.jpg,2,94.9491
000000000730.jpg,5,41.9298
000000000731.jpg,5,48.1465
000000000735.jpg,1,98.2176
000000000761.jpg,0,99.4648
000000000764.jpg,1,97.9738
000000000781.jpg,7,14.2362
000000000790.jpg,1,95.5476
000000000795.jpg,2,63.4608
000000000810.jpg,0,100.0
000000000821.jpg,1,74.5135
000000000828.jpg,1,95.9186
000000000831.jpg,0,99.2931
000000000836.jpg,0,100.0
000000000839.jpg,1,88.0288
000000000882.jpg,0,99.1485
000000000897.jpg,0,99.9993
000000000901.jpg,4,32.1946
000000000913.jpg,1,61.9446
000000000923.jpg,6,34.2081
000000000925.jpg,1,99.9913
000000000927.jpg,0,99.9009
000000000934.jpg,1,94.3656
000000000943.jpg,2,98.8438
000000000960.jpg,1,99.7918
000000000962.jpg,1,78.5096
000000000965.jpg,2,80.5807
000000000969.jpg,2,47.3438
000000000974.jpg,1,96.1539
000000000984.jpg,2,71.2764
000000000985.jpg,1,67.4347
000000000999.jpg,1,100.0
000000001006.jpg,1,85.4501
000000001011.jpg,2,60.5404
000000001014.jpg,1,73.4163
000000001053.jpg,1,77.4284
000000001089.jpg,1,96.0147
000000001098.jpg,0,100.0
000000001102.jpg,2,72.5966
000000001107.jpg,6,23.1725
000000001108.jpg,1,99.9983
000000001144.jpg,0,99.6973
000000001145.jpg,0,100.0
000000001146.jpg,1,91.0696
000000001149.jpg,1,100.0
000000001164.jpg,1,96.3956
000000001176.jpg,0,100.0
000000001180.jpg,1,84.6185
000000001183.jpg,1,87.387
000000001200.jpg,7,10.9313
000000001204.jpg,0,100.0
000000001216.jpg,3,64.9537
000000001232.jpg,2,58.4092
000000001237.jpg,1,100.0
000000001244.jpg,4,37.3692
000000001270.jpg,1,90.723
000000001271.jpg,1,88.3978
000000001290.jpg,2,95.4117
000000001292.jpg,2,81.6683
000000001295.jpg,2,66.6361
000000001298.jpg,1,100.0
000000001307.jpg,2,82.5771
000000001308.jpg,1,83.3469
000000001311.jpg,3,49.0988
000000001315.jpg,0,99.2145
000000001319.jpg,1,84.1461
000000001330.jpg,1,71.5895
000000001332.jpg,3,39.7572
000000001342.jpg,1,97.6514
000000001350.jpg,3,48.2383
000000001359.jpg,2,39.3337
000000001360.jpg,2,66.2117
000000001369.jpg,1,74.7969
000000001375.jpg,2,83.8796
000000001381.jpg,2,92.9036
000000001390.jpg,1,99.2419
000000001397.jpg,0,99.5488
000000001398.jpg,1,86.6598
000000001401.jpg,1,100.0
000000001403.jpg,0,99.2305
000000001404.jpg,1,92.1071
000000001407.jpg,0,100.0
000000001424.jpg,1,100.0
000000001431.jpg,0,98.8927
000000001436.jpg,1,99.7541
000000001451.jpg,0,100.0
000000001453.jpg,1,69.0668
000000001464.jpg,3,75.6759
000000001488.jpg,2,85.8189
000000001523.jpg,1,78.4434
000000001527.jpg,2,66.4316
000000001536.jpg,0,99.6868
000000001548.jpg,1,81.4794
000000001554.jpg,2,83.3797
000000001563.jpg,4,81.8229
000000001569.jpg,0,99.2436
000000001579.jpg,4,99.9685
000000001580.jpg,2,64.8444
000000001586.jpg,2,74.3393
000000001591.jpg,1,100.0
000000001592.jpg,3,76.1287
000000001596.jpg,0,99.9962
000000001599.jpg,0,99.1872
000000001626.jpg,0,99.2949
000000001637.jpg,6,21.6452
000000001639.jpg,1,86.2452
000000001655.jpg,1,66.9703
000000001667.jpg,1,99.487
000000001668.jpg,1,89.8366
000000001670.jpg,6,24.8027
000000001700.jpg,0,99.9873
000000001706.jpg,1,90.3421
000000001720.jpg,5,54.9512
000000001722.jpg,4,43.8234
000000001732.jpg,2,89.4731
000000001756.jpg,0,99.7083
000000001757.jpg,2,83.1731
000000001762.jpg,1,74.7542
000000001764.jpg,1,96.9904
000000001774.jpg,1,99.735
000000001785.jpg,2,63.847
000000001790.jpg,2,76.5332
000000001799.jpg,1,65.9417
000000001804.jpg,2,84.5221
000000001811.jpg,0,100.0
000000001815.jpg,0,100.0
000000001822.jpg,2,59.8945
000000001837.jpg,2,77.8102
000000001841.jpg,1,100.0
000000001856.jpg,1,97.2607
000000001864.jpg,2,81.6972
000000001875.jpg,0,100.0
000000001888.jpg,1,82.3723
000000001895.jpg,1,97.8256
000000001900.jpg,4,86.0119
000000001911.jpg,5,52.2275
000000001915.jpg,0,99.3005
000000001924.jpg,2,62.8901
000000001941.jpg,3,48.8607
000000001942.jpg,3,50.0303
000000001943.jpg,0,98.7269
000000001947.jpg,0,100.0
000000001948.jpg,0,100.0
000000001955.jpg,5,27.912
000000001958.jpg,1,94.5322
000000001960.jpg,1,94.3966
000000001966.jpg,0,100.0
000000001987.jpg,0,100.0
000000001994.jpg,1,90.9658
000000002001.jpg,1,100.0
000000002007.jpg,2,79.3174
000000002014.jpg,1,100.0
000000002055.jpg,0,100.0
000000002056.jpg,3,61.8687
000000002072.jpg,3,63.1034
000000002083.jpg,1,86.0507
000000002089.jpg,8,7.1513
000000002114.jpg,6,22.5095
000000002124.jpg,0,99.457
000000002135.jpg,2,80.0752
000000002142.jpg,0,100.0
000000002154.jpg,0,100.0
000000002171.jpg,2,63.4174
000000002179.jpg,1,96.9404
000000002184.jpg,1,100.0
000000002191.jpg,1,99.4863
000000002211.jpg,0,100.0
000000002225.jpg,2,90.84
000000002229.jpg,5,24.484
000000002235.jpg,1,89.0621
000000002239.jpg,1,80.8837
000000002258.jpg,6,30.8125
000000002278.jpg,0,98.7269
000000002281.jpg,0,99.6608
000000002302.jpg,1,82.6973
000000002337.jpg,1,91.8973
000000002369.jpg,0,99.0822
000000002372.jpg,1,91.9559
000000002377.jpg,3,77.2439
000000002400.jpg,1,100.0
000000002402.jpg,1,100.0
000000002415.jpg,2,61.9391
000000002444.jpg,1,100.0
000000002445.jpg,4,34.6776
000000002446.jpg,1,99.9758
000000002459.jpg,0,100.0
000000002466.jpg,2,93.5725
000000002470.jpg,1,77.6396
000000002477.jpg,0,100.0
000000002498.jpg,0,99.8133
000000002525.jpg,1,82.1074
000000002536.jpg,2,81.6401
000000002543.jpg,2,67.4989
000000002555.jpg,0,99.8051
000000002560.jpg,1,100.0
000000002562.jpg,1,89.0504
000000002563.jpg,2,52.4948
000000002567.jpg,1,85.4128
000000002575.jpg,2,69.7387
000000002583.jpg,1,99.6892
000000002585.jpg,0,99.4678
000000002602.jpg,1,85.6382
000000002613.jpg,1,86.7136
000000002614.jpg,1,76.3967
000000002639.jpg,3,81.0002
000000002644.jpg,2,99.3242
000000002658.jpg,3,88.219
000000002664.jpg,0,100.0
000000002672.jpg,5,54.8427
000000002686.jpg,0,100.0
000000002687.jpg,4,45.9598
000000002691.jpg,1,79.7783
000000002693.jpg,1,96.8112
000000002703.jpg,1,86.4747
000000002732.jpg,5,49.4091
000000002742.jpg,1,94.7715
000000002752.jpg,2,57.384
000000002754.jpg,5,56.7917
000000002755.jpg,2,90.464
000000002758.jpg,1,94.8668
000000002764.jpg,0,99.6001
000000002774.jpg,5,26.9126
000000002782.jpg,0,100.0
000000002823.jpg,0,100.0
000000002833.jpg,1,99.1617
000000002839.jpg,0,99.6732
000000002842.jpg,0,100.0
000000002860.jpg,0,99.36
000000002867.jpg,2,79.0833
000000002881.jpg,2,58.1353
000000002890.jpg,1,81.7286
000000002892.jpg,3,74.4506
000000002896.jpg,1,83.7928
000000002907.jpg,1,64.3279
000000002951.jpg,7,16.214
000000002963.jpg,1,94.1967
000000002983.jpg,1,99.5638
000000002992.jpg,0,99.7753
000000002998.jpg,7,22.744
000000003000.jpg,0,100.0
000000003001.jpg,1,96.8896
000000003008.jpg,1,96.1369
000000003048.jpg,1,84.7666
000000003076.jpg,3,66.2624
000000003077.jpg,3,78.9323
000000003091.jpg,2,76.3496
000000003103.jpg,0,100.0
000000003109.jpg,1,67.6921
000000003118.jpg,0,99.336
000000003124.jpg,0,99.7724
000000003125.jpg,2,74.7369
000000003134.jpg,2,66.039
000000003145.jpg,1,97.6998
000000003157.jpg,1,96.2778
000000003160.jpg,3,80.5595
000000003197.jpg,3,65.0725
000000003209.jpg,1,88.887
000000003220.jpg,0,100.0
000000003225.jpg,0,100.0
000000003236.jpg,2,91.7548
000000003242.jpg,1,93.8856
000000003272.jpg,2,98.7791
000000003276.jpg,0,99.2249
000000003293.jpg,2,89.9646
000000003310.jpg,1,92.665
000000003320.jpg,2,56.7467
000000003325.jpg,2,89.7894
000000003326.jpg,2,69.1556
000000003337.jpg,2,100.0
000000003348.jpg,2,89.881
000000003353.jpg,2,76.3443
000000003361.jpg,9,3.0464
000000003365.jpg,2,73.5773
000000003366.jpg,1,88.0407
000000003375.jpg,1,100.0
000000003378.jpg,1,99.8386
000000003382.jpg,1,91.3694
000000003412.jpg,2,74.8412
000000003432.jpg,0,99.8993
000000003457.jpg,1,100.0
000000003461.jpg,1,84.7432
000000003466.jpg,1,94.0741
000000003478.jpg,4,61.8691
000000003488.jpg,1,99.9964
000000003493.jpg,3,35.3895
000000003514.jpg,1,97.9289
000000003521.jpg,0,99.8861
000000003528.jpg,2,76.4692
000000003532.jpg,1,81.332
000000003535.jpg,2,72.7682
000000003538.jpg,1,100.0
000000003579.jpg,0,100.0
000000003580.jpg,1,83.557
000000003590.jpg,3,56.8496
000000003602.jpg,2,71.4066
000000003628.jpg,1,72.8828
000000003637.jpg,2,88.1528
000000003685.jpg,3,47.3105
000000003693.jpg,2,76.8487
000000003694.jpg,1,100.0
000000003713.jpg,2,76.4043
000000003716.jpg,1,81.8021
000000003735.jpg,1,84.4734
000000003751.jpg,0,100.0
000000003761.jpg,0,99.507
000000003770.jpg,1,94.3705
000000003779.jpg,0,100.0
